Article ID,Article URL,Article Title,Article Image URL
28,https://wrestletalk.com/news/heres-what-happened-between-seth-rollins-tommaso-ciampa-after-nxt/,Here’s What Happened Between Seth Rollins & Tommaso Ciampa After NXT,https://static.wrestletalk.com/app/uploads/2019/11/20191120_NXT_Seth_Tommaso-dbd3684a6b20a641cdf3c6e753f1fcb2-960x540.jpg
29,https://wrestletalk.com/news/triple-h-gives-johnny-gargano-injury-update/,Triple H Gives Johnny Gargano Injury Update,https://static.wrestletalk.com/app/uploads/2019/11/triple-h-johnny-gargano-qfwed-960x540.jpg
30,https://wrestletalk.com/news/enzo-amore-on-speaking-with-wwes-mark-carrano-recently/,Enzo Amore On Speaking With WWE’s Mark Carrano Recently,https://static.wrestletalk.com/app/uploads/2019/01/enzo-amore-3.jpg
31,https://wrestletalk.com/news/reason-dio-maddin-hasnt-been-on-wwe-raw/,Reason Dio Maddin Hasn’t Been On WWE Raw,https://static.wrestletalk.com/app/uploads/2019/11/dio-maddin-raw-2rfwe.jpg
32,https://wrestletalk.com/news/bray-wyatt-to-appear-in-ring-on-wwe-smackdown/,Bray Wyatt To Appear In-Ring On WWE SmackDown,https://static.wrestletalk.com/app/uploads/2019/11/wyatt-bryan-fsdbg.jpg
33,https://wrestletalk.com/news/wwes-bray-wyatt-wrestlemania-36-plans-possibly-revealed/,WWE’s Bray Wyatt WrestleMania 36 Plans Possibly Revealed,https://static.wrestletalk.com/app/uploads/2019/11/The-Fiend-1-960x540.jpg
34,https://wrestletalk.com/news/cody-rhodes-implies-wwe-is-suing-aew/,Cody Rhodes Implies WWE Is Suing AEW,https://static.wrestletalk.com/app/uploads/2019/11/Webp.net-resizeimage-68.jpg
35,https://wrestletalk.com/news/aew-dark-spoilers-from-november-20/,AEW Dark Spoilers From November 20,https://static.wrestletalk.com/app/uploads/2019/10/aew-dark-f223.jpg
36,https://wrestletalk.com/news/triple-h-on-talent-requesting-releases-on-twitter-handle-business-like-a-professional/,Triple H On Talent Requesting Releases On Twitter: “Handle Business Like A Professional”,https://static.wrestletalk.com/app/uploads/2019/06/Triple_H_bio-960x540.jpg
37,https://wrestletalk.com/news/jordan-myles-advertised-for-first-match-since-leaving-wwe-after-racism-scandal/,Jordan Myles Advertised For First Match Since Leaving WWE After Racism Scandal,https://static.wrestletalk.com/app/uploads/2019/10/Jordan-Myles.v1-960x539.jpg
38,https://wrestletalk.com/news/report-wwe-has-no-plans-for-cm-punk-to-have-wrestlemania-36-match/,Report: WWE Has No Plans For CM Punk To Have WrestleMania 36 Match,https://static.wrestletalk.com/app/uploads/2019/07/cm-punk-starrcast.jpg
39,https://wrestletalk.com/news/update-another-major-raw-star-looking-to-leave-wwe/,Update: Another Major Raw Star Looking To Leave WWE,https://static.wrestletalk.com/app/uploads/2019/11/Kairi-960x540.jpg
